Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Government and Public Administration,Program Manager,50788,0,USA,Beaumont,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Instructor/NTT-Faculty,35161,3125,USA,"Norman,OK",11 - 20 years,21 - 30 years,PhD,Woman,White
Government and Public Administration,Program Specialist,37505,0,USA,Austin,2 - 4 years,2 - 4 years,College degree,Man,White
Education (Primary/Secondary),Media Assistant,22753,0,USA,Fort Wayne,5-7 years,2 - 4 years,College degree,Woman,White
Business or Consulting,Senior Consultant,46881,0,USA,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Insurance,Product Coordinator,32817,2344,USA,Lewisville,31 - 40 years,11 - 20 years,Master's degree,Man,White
Law,Partner,244175,78136,USA,Atlanta,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Education (Higher Education),Development/Advancement,113297,0,USA,Newark,11 - 20 years,11 - 20 years,College degree,Woman,White
Nonprofits,Development Assistant,29926,0,USA,Lawrence,2 - 4 years,2 - 4 years,College degree,Woman,White
Art & Design,Senior Graphic Designer,46881,0,USA,Kansas City,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Primary/Secondary),Director of Operations,23440,390,USA,Oklahoma City,2 - 4 years,2 - 4 years,Master's degree,Woman,"Native American or Alaska Native, White"
Government and Public Administration,Contract Manager,61727,468,USA,Nashville,21 - 30 years,5-7 years,Master's degree,Woman,White
Health care,Physical Therapist,67197,0,USA,Waterville,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
Education (Higher Education),Compensation Analyst,45319,0,USA,San Antonio,8 - 10 years,8 - 10 years,College degree,Man,White
Utilities & Telecommunications,Policy and Technology Specialist,66337,6633,USA,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White
Health care,Front Office Assistant,20510,0,USA,Newport News,11 - 20 years,1 year or less,Some college,Woman,White
Education (Higher Education),College Instructor,60611,0,Uganda,Vancouver,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Education (Higher Education),Admissions Advisor,40709,0,USA,Syracuse,8 - 10 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Immigration Officer,83719,0,USA,Arlington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Lead Accountant,50788,0,USA,Boise,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Assistant State Auditor,46512,781,USA,Tacoma,31 - 40 years,5-7 years,College degree,Man,White
Insurance,Product Manager,65634,6250,USA,Chicago,5-7 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Manufacturing Engineer,69541,0,USA,Beverly,11 - 20 years,11 - 20 years,College degree,Man,White
Transport or Logistics,Planning Assistant,21800,0,UK,Nottingham,5-7 years,1 year or less,Master's degree,Woman,White
Government and Public Administration,Attorney,128924,1562,USA,Washington,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Man,White
Education (Higher Education),Administrative Support Associate,25784,0,USA,Cullowhee,11 - 20 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Staff attorney,64853,0,USA,St. Paul,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Retail,"Senior Manager, Credit Finance ",74229,6680,USA,Cincinnati,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Retail,Data Analyst,24378,0,USA,Iselin,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Universety lecturer,40453,0,Sweden,Västerås,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Law,Office Manager,40511,7032,USA,Saint Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Project Manager,85949,0,USA,Dallas,5-7 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Sales Operations Manager,79699,0,USA,San Francisco,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Media & Digital,Digital content manager,48444,0,USA,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
Business or Consulting,Chief Operations Officer,78136,0,USA,"Portland, ME area",8 - 10 years,8 - 10 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Senior Compliance Analyst,57820,781,USA,Prefer not to answer,5-7 years,5-7 years,College degree,Woman,White
Health care,Client Billing Specialist Team Lead,28910,1250,USA,Austin,11 - 20 years,5-7 years,College degree,Woman,White
Computing or Tech,Senior IT Project Manager,85949,0,USA,Remote,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Office Manager,46745,0,USA,Baltimore,8 - 10 years,2 - 4 years,College degree,Woman,White
Nonprofits,Senior Project Manager/Evaluation Specialist,71885,0,USA,Buffalo,8 - 10 years,8 - 10 years,PhD,Woman,White
Computing or Tech,Sales Operations Manager,60790,3039,USA,Portland,8 - 10 years,5-7 years,College degree,Woman,White
Education (Higher Education),Research Manager,55320,0,USA,Berkeley ,21 - 30 years,11 - 20 years,PhD,Woman,White
Transport or Logistics,HR Manager,51000,4500,UK,Brighton,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Transport or Logistics,Director of Finance,76386,0,USA,Oakland,5-7 years,5-7 years,High School,Woman,White
Media & Digital,Copy editor,33317,0,USA,Monrovia,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
Media & Digital,Copy Editor,50788,0,USA,"Houston, but the job is remote",11 - 20 years,5-7 years,Master's degree,Woman,White
Nonprofits,Strategic Communications Director,91419,0,USA,Philadelphia,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Nonprofits,Director,57820,0,USA,Detroit,8 - 10 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Accountant,62196,7813,USA,Richmond,2 - 4 years,2 - 4 years,College degree,Woman,White
Business or Consulting,Vice President and Policy Director,96889,0,USA,Washington,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Sales,Senior Applications / Inside Sales,46881,3906,USA,San Diego ,11 - 20 years,11 - 20 years,College degree,Woman,White
"Marketing, Advertising & PR",eCommerce Marketing Director,73448,11720,USA,Denver,8 - 10 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
Agriculture or Forestry,Seasonal Wildlife Biologist,30879,4688,USA,Laramie,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Primary/Secondary),College Counselor,42193,0,USA,Hartford,8 - 10 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Senior trust associate,76573,6250,USA,Los Angeles,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,IT Administrator,50788,0,USA,Beaverton,21 - 30 years,8 - 10 years,Some college,Woman,White
Education (Primary/Secondary),Special Education Teacher,53132,0,USA,Sauk Centre,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
"Marketing, Advertising & PR",Social Media Strategist,41021,0,USA,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Librarian ,76964,5469,USA,Southfield,21 - 30 years,21 - 30 years,College degree,Woman,White
"Accounting, Banking & Finance",Auditor,88762,1953,USA,Anchorage,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Engineering or Manufacturing,Lab Manager,94544,28129,USA,"St Paul, MN",11 - 20 years,11 - 20 years,Master's degree,Man,White
Health care,Pharmacy Technician,56258,13283,USA,New York City,21 - 30 years,21 - 30 years,Some college,Woman,White
Government and Public Administration,Emergency Management Specialist,81019,3906,USA,Washington,5-7 years,5-7 years,Master's degree,Woman,White
Nonprofits,System administration and project manager,11407,950,South Africa,Gauteng,2 - 4 years,2 - 4 years,College degree,Woman,White
"Marketing, Advertising & PR",Senior Account Director,76573,7813,USA,Henderson,8 - 10 years,8 - 10 years,College degree,Woman,White
Engineering or Manufacturing,Manager,98451,0,USA,Carbondale,11 - 20 years,11 - 20 years,PhD,Man,White
Computing or Tech,Senior Staff Privacy Engineer,203154,273477,USA,San Francisco,8 - 10 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Machine learning model developer,114185,4229,Switzerland,Zurich,8 - 10 years,2 - 4 years,PhD,Woman,White
"Marketing, Advertising & PR",Account Supervisor- PR,54695,3906,USA,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Senior Accountant,62509,6250,USA,Denver,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Computing or Tech,Senior Data Specialist,39185,861,Belgium,Brussels,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Utilities & Telecommunications,HR Project Manager,44537,11720,USA,st louis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Social Work,Supervising Care Manager,60946,0,USA,Santa Cruz ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Project Manager,44928,781,USA,Remote position ,5-7 years,2 - 4 years,Some college,Woman,White
Engineering or Manufacturing,Senior Business Systems Analyst,82043,4688,USA,Cincinnati,11 - 20 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Senior Software Engineer,89856,0,USA,Kansas City,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Director of Administration for [academic dept],58602,0,USA,Cambridge,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Office Manager,40490,0,USA,Chicago,5-7 years,5-7 years,College degree,Non-binary,White
Education (Primary/Secondary),Library Media Specialist,36797,0,USA,Eau Claire,8 - 10 years,8 - 10 years,College degree,Woman,White
Retail,Sales Associate ,18690,78,USA,Boerne ,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Social Media Specialist,34379,156,USA,Washington D.C.,21 - 30 years,5-7 years,Master's degree,Woman,White
Nonprofits,Senior Librarian 1A,44536,0,USA,Nyc,8 - 10 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
Art & Design,Senior Product Designer,105484,0,USA,Chicago,21 - 30 years,11 - 20 years,College degree,Woman,White
Business or Consulting,Director of Research and Data Analytics,109390,0,USA,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Assistant professor ,62509,0,England,Durham,5-7 years,5-7 years,PhD,Woman,White
Education (Higher Education),Post doctoral fellow,42193,0,USA,Champaign,1 year or less,1 year or less,PhD,Woman,White
Transport or Logistics,Continuous Improvement Manager,62509,15627,USA,Joliet,5-7 years,2 - 4 years,College degree,Man,White
Law,Associate Attorneu,84387,5469,USA,Denver,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Education (Higher Education),Assistant Professor (English Dept.),43756,234,USA,Oklahoma City,11 - 20 years,8 - 10 years,PhD,Woman,White
Law,Technical Advisor,105484,4688,USA,Washington,1 year or less,1 year or less,PhD,Woman,White
Education (Higher Education),University services associate,17971,0,USA,La Crosse,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Program Manager,101577,15627,USA,Denver,21 - 30 years,8 - 10 years,College degree,Woman,White
"Marketing, Advertising & PR",Content Marketing Manager,66415,0,USA,Norcross,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Program Manager for Engineering,84387,0,USA,Washington DC,21 - 30 years,21 - 30 years,College degree,Woman,White
Engineering or Manufacturing,Principal Engineer,144552,8594,USA,Richmond,11 - 20 years,11 - 20 years,PhD,Woman,White
Computing or Tech,Electrical Engineer,109390,15627,USA,Austin,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
Government and Public Administration,Office Manager ,27628,1562,USA,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Senior analyst,64812,6001,Uganda,Ottawa,11 - 20 years,11 - 20 years,Master's degree,Woman,"Black or African American, Native American or Alaska Native, White"
Education (Primary/Secondary),K-4 Science Teacher,69541,0,USA,Brooklyn ,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
"Marketing, Advertising & PR",Digital Marketing Specialist,50788,117,USA,Richmond,11 - 20 years,8 - 10 years,College degree,Woman,White
Computing or Tech,iPhone Engineer,65453,0,Germany,Berlin,5-7 years,5-7 years,College degree,Man,White
Law,Real Estate Law Clerk,39007,3000,Uganda,Toronto,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Senior Accountant,40207,0,Uganda,"Mono, Ontario",8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
Government and Public Administration,Public Health Analyst,67978,117,USA,Rockville,5-7 years,2 - 4 years,Master's degree,Woman,White
Health care,Nurse Practitioner,101577,5078,USA,SF,41 years or more,41 years or more,Master's degree,Woman,White
Engineering or Manufacturing,Recruiting Enablement,58602,3906,USA,St. Louis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Administrator,20800,0,UK,"Small town, Cornwall",8 - 10 years,2 - 4 years,College degree,Woman,White
Utilities & Telecommunications,Business Analyst,53132,0,USA,Portland,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,principal data scientist,140645,0,USA,Twin Cities,11 - 20 years,2 - 4 years,PhD,Woman,White
Education (Higher Education),Assistant Librarian,43756,0,USA,Flagstaff,8 - 10 years,5-7 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Senior Financial Analyst,66415,11720,USA,Memphis,8 - 10 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Manager,46881,0,USA,Tempe,11 - 20 years,11 - 20 years,PhD,Woman,White
Government and Public Administration,Research Director,84387,0,USA,New York City,21 - 30 years,11 - 20 years,PhD,Woman,White
Education (Higher Education),Adjunct ESOL Instructor,35161,0,USA,Greensboro,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Nonprofits,Operations and Administration Manager,40435,546,USA,Detroit,11 - 20 years,11 - 20 years,College degree,Woman,White
Law,Court reporter,101577,0,USA,Los Angeles,31 - 40 years,11 - 20 years,College degree,Woman,White
Recruitment or HR,Supervisor,45506,6250,USA,Irvine,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
"Marketing, Advertising & PR",Staff Writer,50788,781,USA,Easthampton,8 - 10 years,5-7 years,College degree,Man,White
Education (Higher Education),Library Supervisor,29301,0,USA,Columbus,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
Education (Primary/Secondary),High school teacher,39849,0,USA,Orlando,5-7 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Data Manager,79699,0,USA,Olympia,41 years or more,31 - 40 years,Master's degree,Man,White
Education (Higher Education),Librarian,40845,0,USA,Tallahassee,8 - 10 years,8 - 10 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White"
Business or Consulting,Executive Assistant,43756,3906,USA,Fort Collins,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Software Engineer,62509,7813,USA,Holmdel,2 - 4 years,2 - 4 years,College degree,Man,White
Business or Consulting,Senior Editor,59905,2344,USA,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
"Marketing, Advertising & PR",specialist,10564,0,USA,Columbus,11 - 20 years,1 year or less,College degree,Woman,White
Education (Higher Education),Recording secretary ,35708,0,USA,Columbus,2 - 4 years,1 year or less,College degree,Woman,White
